Category,Metric,MediaPipe,BlazePose,YOLOv8-Pose,PyTorch Pose,MMPose,Winner,Phase
Accuracy_Optuna,Detection Rate %,4.5,1.2,100.0,92.5,100.0,YOLOv8-Pose/MMPose,Optuna
Accuracy_Optuna,Detection F1,0.498,0.497,0.986,0.840,0.932,YOLOv8-Pose,Optuna
Accuracy_Optuna,True Positives Mean,3.18,1.00,70.61,65.42,70.61,YOLOv8-Pose/MMPose,Optuna
Accuracy_Optuna,False Negatives Mean,67.43,69.61,0.00,5.19,0.00,YOLOv8-Pose/MMPose,Optuna
Accuracy_COCO,PCK@0.1,0.394,0.435,0.650,0.689,0.755,MMPose,COCO
Accuracy_COCO,PCK@0.2,0.576,0.594,0.829,0.856,0.898,MMPose,COCO
Accuracy_COCO,PCK@0.3,0.689,0.710,0.890,0.912,0.935,MMPose,COCO
Accuracy_COCO,PCK@0.5,0.841,0.855,0.949,0.946,0.968,MMPose,COCO
Accuracy_COCO,PCK Error Mean,0.424,0.406,0.171,0.144,0.103,MMPose,COCO
Accuracy_COCO,Detection Precision,1.000,1.000,0.812,0.442,0.559,MediaPipe/BlazePose,COCO
Accuracy_COCO,Detection Recall,0.196,0.138,0.978,0.991,0.996,MMPose,COCO
Accuracy_COCO,Detection F1,0.327,0.242,0.887,0.611,0.716,YOLOv8-Pose,COCO
Accuracy_Surf,Detection Rate %,3.4,0.9,100.0,84.1,100.0,YOLOv8-Pose/MMPose,Comparison
Accuracy_Surf,Detection F1,0.499,0.499,0.993,0.776,0.933,YOLOv8-Pose,Comparison
Accuracy_Surf,Consensus PCK@0.2,0.347,0.277,0.789,0.788,0.929,MMPose,Comparison
Accuracy_Surf,Consensus PCK Error,0.653,0.723,0.211,0.212,0.071,MMPose,Comparison
Accuracy_Surf,Consensus Confidence,0.292,0.124,0.313,0.437,0.333,PyTorch Pose,Comparison
Accuracy_Surf,Detection Consistency,0.965,0.988,0.986,0.711,0.867,BlazePose,Comparison
Performance_Optuna,FPS Mean,151.8,166.5,228.7,41.2,43.5,YOLOv8-Pose,Optuna
Performance_Optuna,Inference Time ms,6.71,6.03,4.38,24.27,23.08,YOLOv8-Pose,Optuna
Performance_Optuna,Memory MB,0.0,0.0,212.6,261.8,234.2,MediaPipe,Optuna
Performance_Optuna,CPU %,10.8,10.9,11.6,14.8,22.4,MediaPipe,Optuna
Performance_Optuna,Processing Time hrs,1.22,1.34,0.87,2.66,2.55,YOLOv8-Pose,Optuna
Performance_COCO,FPS Mean,64.7,71.9,49.3,23.4,16.2,BlazePose,COCO
Performance_COCO,Inference Time ms,15.46,13.91,20.30,42.74,61.73,BlazePose,COCO
Performance_COCO,Inference Time Std ms,6.92,6.38,26.86,27.81,22.48,BlazePose,COCO
Performance_Surf,FPS Mean,153.7,167.1,142.5,39.9,34.8,BlazePose,Comparison
Performance_Surf,Inference Time ms,6.61,6.00,7.03,25.12,28.82,BlazePose,Comparison
Performance_Surf,P95 Latency ms,8.92,7.38,7.99,26.28,31.88,BlazePose,Comparison
Performance_Surf,P99 Latency ms,10.58,8.58,9.19,27.13,33.51,BlazePose,Comparison
Performance_Surf,Memory MB,87.1,87.1,80.1,265.1,180.9,YOLOv8-Pose,Comparison
Performance_Surf,CPU %,9.7,9.9,9.0,13.8,18.3,YOLOv8-Pose,Comparison
Resources,Model Size MB,5.0,150.0,11.6,160.0,180.0,MediaPipe,All
Resources,Efficiency Score,30.75,1.11,12.28,0.25,0.19,MediaPipe,Comparison
Resources,Throughput per MB,30.75,1.11,12.28,0.25,0.19,MediaPipe,Comparison
Resources,Speed Memory Ratio,1.764,1.918,1.798,0.151,0.192,BlazePose,Comparison
Resources,Memory Efficiency,0.057,1.721,0.146,0.605,0.995,MMPose,Comparison
Stability,Pose Stability Mean,N/A,N/A,0.623,0.106,0.112,PyTorch Pose,Comparison
Stability,Jitter Mean px,N/A,N/A,4.95,11.00,56.54,YOLOv8-Pose,Comparison
Stability,Keypoint Consistency,N/A,N/A,0.633,0.125,0.161,PyTorch Pose,Comparison
Stability,Skeleton Completeness,N/A,N/A,0.386,1.000,1.000,PyTorch/MMPose,Comparison
Overall,Success Rate %,100.0,100.0,100.0,100.0,100.0,Tie,All
Overall,Total Maneuvers Tested,272,272,272,272,272,Tie,Optuna
Overall,Comparison Maneuvers,715,715,715,715,715,Tie,Comparison
Overall,COCO Images,100,100,100,100,100,Tie,COCO
Overall,Production Ready,No,No,Yes,Maybe,Yes,YOLOv8-Pose,Assessment

