Category,Metric,MediaPipe,BlazePose,YOLOv8-Pose,PyTorch Pose,MMPose,Winner
Accuracy,Detection F1 (Surf),0.507,0.498,0.987,0.805,0.936,YOLOv8-Pose
Accuracy,Detection Rate (%),7.6,1.9,100.0,86.4,100.0,YOLOv8-Pose
Accuracy,Consensus PCK@0.2,0.189,0.076,0.656,1.000,0.860,PyTorch Pose
Accuracy,Consensus PCK Error,0.811,0.924,0.344,0.000,0.140,PyTorch Pose
Accuracy,COCO PCK@0.1,0.394,0.435,0.650,0.689,0.755,MMPose
Accuracy,COCO PCK@0.2,0.576,0.594,0.829,0.856,0.898,MMPose
Accuracy,COCO PCK@0.5,0.841,0.855,0.949,0.946,0.968,MMPose
Accuracy,COCO PCK Error Mean,0.424,0.406,0.171,0.144,0.103,MMPose
Accuracy,COCO Detection F1,0.327,0.242,0.887,0.611,0.716,YOLOv8-Pose
Performance,FPS Mean (Surf),144.2,162.9,146.0,39.7,33.5,BlazePose
Performance,Inference Time ms (Surf),7.15,6.18,6.86,25.22,29.92,BlazePose
Performance,COCO FPS Mean,65.5,71.0,48.9,22.9,16.0,BlazePose
Performance,COCO Inference Time ms,15.26,14.09,20.46,43.67,62.65,BlazePose
Performance,P95 Latency ms,10.54,8.00,7.78,26.37,32.92,YOLOv8-Pose
Performance,P99 Latency ms,12.46,9.58,8.99,27.42,34.48,YOLOv8-Pose
Resources,Model Size MB,5.0,150.0,11.6,160.0,180.0,MediaPipe
Resources,Memory Usage MB,68.5,32.0,76.4,262.5,180.9,BlazePose
Resources,CPU Utilization %,9.7,9.9,9.1,14.4,18.1,YOLOv8-Pose
Resources,Efficiency Score,28.85,1.09,12.59,0.25,0.19,MediaPipe
Resources,Throughput per MB,28.85,1.09,12.59,0.25,0.19,MediaPipe
Stability,Pose Stability Mean,0.028,N/A,0.518,0.078,0.091,MediaPipe
Stability,Jitter Mean (px),37.37,N/A,7.49,14.74,35.16,YOLOv8-Pose
Stability,Keypoint Consistency,0.044,N/A,0.530,0.099,0.138,MediaPipe
Stability,Detection Consistency,0.938,0.977,0.973,0.747,0.871,BlazePose
Completeness,Skeleton Completeness,1.000,N/A,0.494,1.000,1.000,MediaPipe/PyTorch/MMPose
Completeness,Valid Keypoint Ratio,1.000,N/A,0.494,1.000,1.000,MediaPipe/PyTorch/MMPose
Completeness,High Confidence Ratio,0.681,N/A,0.381,0.613,0.153,MediaPipe
Overall,Success Rate %,99.9,99.9,99.9,99.9,99.9,Tie
Overall,Successful Maneuvers,1050,1050,1050,1050,1050,Tie
Overall,Failed Maneuvers,1,1,1,1,1,Tie
